,video_id,id,comment,likeCount,lastUpdated,replyCount,replies
341,op4mGRTAlEY,Ali,Better team won. Congrats Morocco,1,2022-12-11T12:50:46Z,0,
342,op4mGRTAlEY,Georia Shang,Bruno Fernandes was playing a match fixing trick! Bruno Fernandes was playing a match fixing trick ! Bruno Fernandes was playing a match fixing trick !,0,2022-12-11T12:48:12Z,0,
343,op4mGRTAlEY,أمازيغي MR,Let’s go Morocco 🇲🇦👏,4,2022-12-11T12:28:11Z,0,
344,op4mGRTAlEY,Matthew Hall,I love seeing an under dog make it this far but I also wish there was a way to see Ronaldo win the trophy.,0,2022-12-11T12:27:19Z,0,
345,op4mGRTAlEY,saq jaz,Muslimano Reynaldo,0,2022-12-11T12:22:58Z,0,
346,op4mGRTAlEY,homeless Zaya.,"Hahaa another portugal FAIL , another penaldo FAIL , that country and cr6 will NEVER WIN A CUP",0,2022-12-11T12:20:59Z,0,
347,op4mGRTAlEY,Freedom,All the best for Moroco team 👍😊,0,2022-12-11T12:09:48Z,0,
348,op4mGRTAlEY,LoveJones,Sad to see Ronaldo lose in his last World Cup 😢😢 but hope Morocco wins in all 🎉🎉,0,2022-12-11T12:09:43Z,0,
349,op4mGRTAlEY,Cesar Castaneda,"Fernando Santos eso le pasa por seguir el ejemplo de TEN Hag.
Ronaldo genera peligro no solo por el gol sino por lo que el es, ahora ademas de ser gran goleador es un gran pasador...",0,2022-12-11T12:02:26Z,0,
350,op4mGRTAlEY,daedalus_20v,I'm from Jupiter but I'm happy for Morocco.,1,2022-12-11T12:01:33Z,0,
351,op4mGRTAlEY,X,拔牙大王！,0,2022-12-11T11:57:55Z,0,
352,op4mGRTAlEY,Crystal brains WC,"Don't cry ronaldo bro you are the legend, but moroccons  nailed it. Support for both from pakistan.",0,2022-12-11T11:51:51Z,0,
353,op4mGRTAlEY,Discovery Channel E7887 Li,https://youtu.be/kg3dmntq8CE,0,2022-12-11T11:46:36Z,0,
354,op4mGRTAlEY,Alpha Angelo,4:40 ☺️,0,2022-12-11T11:44:57Z,0,
355,op4mGRTAlEY,Luis,Retirement,0,2022-12-11T11:40:32Z,0,
356,op4mGRTAlEY,Scott Carlass,A lot of pleasant surprises for the superpowers of futbol in this World Cup.  I suppose the lesson is to never be too confident about your overdog status.,0,2022-12-11T11:39:16Z,0,
357,op4mGRTAlEY,El-idrysy brahim,the Moroccan dream is still on ALHAMDOLAH🤲  and we will reach the final INCHALAH❤,0,2022-12-11T11:37:50Z,0,
358,op4mGRTAlEY,dasteelers75,"Awesome! I’m sick of the “regulars” always winning! Brasil, Argentina, France, Spain, Italy, lets have a “cinderalla” win!",0,2022-12-11T11:13:46Z,0,
359,op4mGRTAlEY,Babybloo,i love how nobodys mentioning how terrible ronaldo was... he so washed my god. retire already,0,2022-12-11T11:13:45Z,0,
360,op4mGRTAlEY,LIGER,RONALDO OUT!!!!,0,2022-12-11T11:13:35Z,0,
361,op4mGRTAlEY,perifye5,👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾👍🏾,0,2022-12-11T11:12:15Z,0,
362,op4mGRTAlEY,Steven Mejia,THEY BEEN DOING MY BOY CR7 DIRTY THIS YEAR MAN HE WILL ALWAYS BE THE GOAT,0,2022-12-11T11:00:34Z,0,
363,op4mGRTAlEY,Spaceman16,Mfs  be out to get cristiano i swear i hate messi and his fans forever ! Yall the problem with this mf sport !! I hope france wipes the floor with argentina !!🇫🇷🇫🇷🇫🇷🇫🇷,0,2022-12-11T10:37:56Z,2,"['@suhnyyong  Mbappe is better 😘', 'Messi owns']"
364,op4mGRTAlEY,Jasonite _Gaming,4:41 AYO did he kiss that dude's head?!,0,2022-12-11T10:37:25Z,0,
365,op4mGRTAlEY,eMillion,Portugal lost because Morocco were using their colors and got them confused 😵‍💫,1,2022-12-11T10:35:33Z,0,
366,op4mGRTAlEY,Trees42h,The Moroccans are freaking fast!!! I never seen them run so fast like yhat,1,2022-12-11T10:14:09Z,1,['https://youtu.be/VGD-JXlUuJ8']
367,op4mGRTAlEY,S. D.,That goal was amazing!  The height reached by the Moroccan player requires installation of a red light on his head when near a airport!,0,2022-12-11T10:03:54Z,1,['https://youtu.be/VGD-JXlUuJ8']
368,op4mGRTAlEY,Futbalverse,Sum up Ronaldo's World Cup in one word ----  Misfortune😢,0,2022-12-11T09:59:39Z,0,
369,op4mGRTAlEY,shronik,Other than the Moroccan exemplary play I believe the internal disharmony created by Santos and hubris shown by Ronaldo was also the reason of Portugal demise,0,2022-12-11T09:54:29Z,0,
370,op4mGRTAlEY,Jackson Hawkins,All the way morocco!! Don't stop now!,0,2022-12-11T09:51:54Z,0,
371,op4mGRTAlEY,Jeb Atman,"Seriously, this isn't mud wrestling, can the woman commentator at least try to take this seriously? She sounds like a teenage cheerleader",0,2022-12-11T09:50:53Z,0,
372,op4mGRTAlEY,Zach Page,I know Morocco did really good hands down but I still can’t believe they really benched Ronaldo for half the game that is just disrespect,0,2022-12-11T09:41:05Z,0,
373,op4mGRTAlEY,Michael Aldaraca,bench,0,2022-12-11T09:39:11Z,0,
374,op4mGRTAlEY,6EASSOUND,Hhhh cr7 he’s crying 😭,1,2022-12-11T09:24:22Z,0,
375,op4mGRTAlEY,Omar Al,It’s our time now congratulations my brothers,1,2022-12-11T09:21:22Z,0,
376,op4mGRTAlEY,Mike Del Vecchio,That was one of the nicest header goals I've seen... Timed so well he got over the top of it. Gotta credit the ball in too.,6,2022-12-11T09:19:46Z,0,
377,op4mGRTAlEY,SomeName,"we, moroccans, have been starved and been looking for moments like these for decades, football runs in our blood. one of the our best ways of coping with life and it's difficulties... we love out country(not necessarily the regime), so a lot of our anger/frustration/energy... is channeled through sports...",3,2022-12-11T09:15:35Z,0,
378,op4mGRTAlEY,Murat C.,If Portugal doesn’t give me the chance to watch Ronaldo for his last World Cup I  have no pain about Them …,0,2022-12-11T09:11:31Z,1,['0:57 it show who team want to win  and goal portugal bad defence']
379,op4mGRTAlEY,Percy Calahorrano,"Great team, just terrible style of play. Everyone defending and just waiting for the counter with one player ready to run after a long pass. Congrats on making it so far, much love.",0,2022-12-11T09:06:34Z,0,
380,op4mGRTAlEY,Eddy Herrera,"Neymar Jr isn't getting a world cup that's awesome and neither is Ronaldo.
They don't deserve it. Throwing themselves to get a penalty or a foul.",0,2022-12-11T09:04:27Z,0,
381,op4mGRTAlEY,Colin Killick,Morrocco was colonized by both the Spanish and the French. They’ve already beaten one. What if they beat the other?,1,2022-12-11T09:04:20Z,0,
382,op4mGRTAlEY,Dietmar Stahl,"Good for Morocco, extremely bad decision from Portugal not to put Ronaldo in as starter.",0,2022-12-11T09:01:05Z,0,
383,op4mGRTAlEY,Hubisa Duri,maroco de best,0,2022-12-11T08:59:43Z,0,
384,op4mGRTAlEY,ScandyDandy,Now we just need for messi to be eliminated 🙏,0,2022-12-11T08:57:46Z,0,
